Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Applied Mathematics and Information Sciences:  ['Computer Science Applications (Q3)', 'Analysis (Q4)', 'Applied Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Numerical Analysis (Q4)']
Future Internet:  ['Computer Networks and Communications (Q3)']
Mathematical and Computer Modelling of Dynamical Systems:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Software (Q3)', 'Applied Mathematics (Q4)', 'Modeling and Simulation (Q4)']
Statistics, Optimization and Information Computing:  ['Artificial Intelligence (Q3)', 'Computer Vision and Pattern Recognition (Q3)', 'Information Systems (Q3)', 'Signal Processing (Q3)', 'Control and Optimization (Q4)', 'Statistics and Probability (Q4)', 'Statistics, Probability and Uncertainty (Q4)']
Electronic Communications of the EASST:  ['Software (Q3)', 'Computational Theory and Mathematics (Q4)']
Automatic Control and Computer Sciences:  ['Control and Systems Engineering (Q3)', 'Signal Processing (Q3)', 'Software (Q3)']
Journal of Ambient Intelligence and Smart Environments:  ['Software (Q3)']
Proceedings of the ASIST Annual Meeting:  ['Information Systems (Q3)', 'Library and Information Sciences (Q3)']
Algorithms:  ['Computational Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Numerical Analysis (Q4)', 'Theoretical Computer Science (Q4)']
Journal of Institute of Control, Robotics and Systems:  ['Control and Systems Engineering (Q3)', 'Software (Q3)', 'Applied Mathematics (Q4)']
International Journal of Internet Technology and Secured Transactions:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)']
IEEE Computer Graphics and Applications:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Software (Q3)']
International Journal of Data Mining and Bioinformatics:  ['Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)', 'Information Systems (Q3)', 'Library and Information Sciences (Q3)']
Computer Animation and Virtual Worlds:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Software (Q3)']
International Journal of Electronics and Telecommunications:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)']
Journal of Signal Processing Systems:  ['Control and Systems Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Information Systems (Q3)', 'Signal Processing (Q3)', 'Modeling and Simulation (Q4)', 'Theoretical Computer Science (Q4)']
Innovations in Systems and Software Engineering:  ['Software (Q3)']
Computer Music Journal:  ['Music', 'Media Technology (Q2)', 'Computer Science Applications (Q3)']
RIAI - Revista Iberoamericana de Automatica e Informatica Industrial:  ['Computer Science (miscellaneous) (Q3)', 'Control and Systems Engineering (Q3)']
Biomedical Instrumentation and Technology:  ['Computer Networks and Communications (Q3)', 'Biomedical Engineering (Q4)']
Scientific Programming:  ['Computer Science Applications (Q3)', 'Software (Q3)']
International Journal of Intelligent Computing and Cybernetics:  ['Computer Science (miscellaneous) (Q3)']
Journal of Emerging Technologies in Accounting:  ['Accounting (Q3)', 'Computer Science Applications (Q3)']
Defence Science Journal:  ['Chemical Engineering (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Mechanical Engineering (Q3)', 'Physics and Astronomy (miscellaneous) (Q3)', 'Biomedical Engineering (Q4)', 'Computer Science Applications (Q4)']
International Journal of Architectural Computing:  ['Building and Construction (Q3)', 'Computer Graphics and Computer-Aided Design (Q3)', 'Computer Science Applications (Q4)']
E-Informatica Software Engineering Journal:  ['Software (Q3)']
RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao:  ['Computer Science (miscellaneous) (Q3)']
International Journal of Web Based Communities:  ['Communication (Q3)', 'Computer Networks and Communications (Q3)', 'Education (Q3)', 'Software (Q3)']
Automatisierungstechnik:  ['Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Computer Science Applications (Q4)']
Foundations of Computing and Decision Sciences:  ['Computer Science (miscellaneous) (Q3)', 'Theoretical Computer Science (Q4)']
International Journal of System of Systems Engineering:  ['Hardware and Architecture (Q3)', 'Information Systems (Q3)']
International Journal of Security and Networks:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Safety, Risk, Reliability and Quality (Q3)']
International Journal of Cognitive Informatics and Natural Intelligence:  ['Artificial Intelligence (Q3)', 'Human-Computer Interaction (Q3)', 'Software (Q4)']
EasternEuropean Journal of Enterprise Technologies:  ['Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Energy Engineering and Power Technology (Q3)', 'Industrial and Manufacturing Engineering (Q3)', 'Mechanical Engineering (Q3)', 'Applied Mathematics (Q4)', 'Computer Science Applications (Q4)', 'Management of Technology and Innovation (Q4)']
Analog Integrated Circuits and Signal Processing:  ['Hardware and Architecture (Q3)', 'Signal Processing (Q3)', 'Surfaces, Coatings and Films (Q4)']
International Journal of Technology and Human Interaction:  ['Human-Computer Interaction (Q3)', 'Information Systems (Q3)']
Far East Journal of Electronics and Communications:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)']
Scientific Visualization:  ['Computer Vision and Pattern Recognition (Q3)', 'Software (Q4)']
Procesamiento de Lenguaje Natural:  ['Language and Linguistics (Q2)', 'Linguistics and Language (Q2)', 'Computer Science Applications (Q4)']
International Journal of Interactive Mobile Technologies:  ['Computer Networks and Communications (Q3)', 'E-learning (Q3)', 'Computer Science Applications (Q4)']
International Journal of Ad Hoc and Ubiquitous Computing:  ['Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q4)']
IET Computers and Digital Techniques:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q4)']
IEEE Consumer Electronics Magazine:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Human-Computer Interaction (Q3)', 'Computer Science Applications (Q4)']
International Journal of Data Mining, Modelling and Management:  ['Management Information Systems (Q3)', 'Computer Science Applications (Q4)', 'Modeling and Simulation (Q4)']
Groups, Complexity, Cryptology:  ['Computer Networks and Communications (Q3)', 'Applied Mathematics (Q4)', 'Computational Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)']
Turkish Journal of Electrical Engineering and Computer Sciences:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)']
International Journal of Modelling and Simulation:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Mechanics of Materials (Q4)', 'Modeling and Simulation (Q4)', 'Software (Q4)']
International Journal of Tomography and Simulation:  ['Computer Science (miscellaneous) (Q3)', 'Radiology, Nuclear Medicine and Imaging (Q4)']
Journal of Advanced Computational Intelligence and Intelligent Informatics:  ['Artificial Intelligence (Q3)', 'Computer Vision and Pattern Recognition (Q3)', 'Human-Computer Interaction (Q3)']
International Journal of Supply Chain Management:  ['Information Systems (Q3)', 'Information Systems and Management (Q3)', 'Management Information Systems (Q3)']
International Journal of Reliability, Quality and Safety Engineering:  ['Aerospace Engineering (Q3)', 'Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Energy Engineering and Power Technology (Q3)', 'Industrial and Manufacturing Engineering (Q3)', 'Safety, Risk, Reliability and Quality (Q3)', 'Nuclear Energy and Engineering (Q4)']
Journal of Computer Networks and Communications:  ['Computer Networks and Communications (Q3)', 'Information Systems (Q3)']
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering:  ['Computer Science (miscellaneous) (Q3)', 'Engineering (miscellaneous) (Q3)']
Mendel:  ['Computer Science (miscellaneous) (Q3)', 'Computational Mathematics (Q4)', 'Theoretical Computer Science (Q4)']
Cybernetics and Information Technologies:  ['Computer Science (miscellaneous) (Q3)']
International Journal of Information Technologies and Systems Approach:  ['Computer Science (miscellaneous) (Q3)']
IET Software:  ['Computer Graphics and Computer-Aided Design (Q3)']
Cogent Engineering:  ['Chemical Engineering (miscellaneous) (Q3)', 'Computer Science (miscellaneous) (Q3)', 'Engineering (miscellaneous) (Q3)']
Wireless Communications and Mobile Computing:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Information Systems (Q3)']
Perspectivas em Ciencia da Informacao:  ['Museology (Q2)', 'Communication (Q3)', 'Library and Information Sciences (Q3)', 'Information Systems (Q4)']
NTT Technical Review:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Computer Science Applications (Q4)']
ISRN Communications and Networking:  ['Computer Networks and Communications (Q3)']
International Journal of Information and Communication Technology Education:  ['Education (Q3)', 'E-learning (Q3)', 'Computer Science Applications (Q4)']
Procedia Manufacturing:  ['Artificial Intelligence (Q3)', 'Industrial and Manufacturing Engineering (Q3)']
Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki:  ['Computer Science (miscellaneous) (Q3)', 'Fluid Flow and Transfer Processes (Q3)', 'Mathematics (miscellaneous) (Q4)']
Jiefangjun Ligong Daxue Xuebao/Journal of PLA University of Science and Technology (Natural Science Edition):  ['Atmospheric Science (Q4)', 'Civil and Structural Engineering (Q4)', 'Information Systems (Q4)']
Computing and Visualization in Science:  ['Computer Vision and Pattern Recognition (Q3)', 'Engineering (miscellaneous) (Q3)', 'Computational Theory and Mathematics (Q4)', 'Modeling and Simulation (Q4)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
Journal of Music, Technology and Education:  ['Music (Q2)', 'Education (Q3)', 'Computer Science Applications (Q4)']
International Journal of Electronic Government Research:  ['Computer Networks and Communications (Q3)', 'E-learning (Q3)', 'Hardware and Architecture (Q3)', 'Social Sciences (miscellaneous) (Q3)', 'Software (Q4)']
International Journal of Nanoscience:  ['Biotechnology (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Materials Science (miscellaneous) (Q3)', 'Bioengineering (Q4)', 'Computer Science Applications (Q4)', 'Condensed Matter Physics (Q4)', 'Nanoscience and Nanotechnology (Q4)']
Journal of Robotics and Mechatronics:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)']
Xitong Fangzhen Xuebao/Acta Simulata Systematica Sinica:  ['Aerospace Engineering (Q3)', 'Computer Science Applications (Q4)', 'Modeling and Simulation (Q4)']
International Journal of Modeling, Simulation, and Scientific Computing:  ['Computer Science Applications (Q4)', 'Modeling and Simulation (Q4)']
Advances in Electrical and Computer Engineering:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)']
Prikladnaya Diskretnaya Matematika:  ['Signal Processing (Q3)', 'Applied Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Discrete Mathematics and Combinatorics (Q4)', 'Theoretical Computer Science (Q4)']
International Journal of Networked and Distributed Computing:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q4)']
Interaction Design and Architecture(s):  ['Architecture (Q2)', 'Media Technology (Q2)', 'Human-Computer Interaction (Q3)', 'Pharmacology (Q3)', 'Social Sciences (miscellaneous) (Q3)', 'Computer Science Applications (Q4)']
Parallel Processing Letters:  ['Hardware and Architecture (Q3)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
International Journal of Information System Modeling and Design:  ['Information Systems (Q4)', 'Management of Technology and Innovation (Q4)']
Computing and Informatics:  ['Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Computational Theory and Mathematics (Q4)', 'Software (Q4)']
Journal of E-Learning and Knowledge Society:  ['Education (Q3)', 'E-learning (Q3)', 'Computer Science Applications (Q4)']
Journal of Information Technology Education: Innovations in Practice:  ['Computer Science (miscellaneous) (Q3)', 'Education (Q3)']
Ruan Jian Xue Bao/Journal of Software:  ['Software (Q4)']
Informacion Tecnologica:  ['Energy (miscellaneous) (Q3)', 'Food Science (Q3)', 'Geotechnical Engineering and Engineering Geology (Q3)', 'Industrial and Manufacturing Engineering (Q3)', 'Strategy and Management (Q3)', 'Computer Science Applications (Q4)']
Scientific Annals of Computer Science:  ['Computer Science (miscellaneous) (Q3)', 'Applied Mathematics (Q4)']
Journal of Control Science and Engineering:  ['Electrical and Electronic Engineering (Q3)', 'Computer Science Applications (Q4)', 'Modeling and Simulation (Q4)']
IEICE Transactions on Information and Systems:  ['Artificial Intelligence (Q3)', 'Computer Vision and Pattern Recognition (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q4)']
Jisuanji Yanjiu yu Fazhan/Computer Research and Development:  ['Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q4)']
International Journal on Artificial Intelligence Tools:  ['Artificial Intelligence (Q4)']
Journal of Engineering:  ['Chemical Engineering (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Industrial and Manufacturing Engineering (Q3)', 'Mechanical Engineering (Q3)', 'Civil and Structural Engineering (Q4)']
